Gérard Laurence@universite laval
Claude Cossette@UNKNWON
Gilles Gauthier@UNKNWON
Andre Roy@UNKNWON
Nathalie Filion@UNKNWON
Amra Ridjanovic@king's college
Lise Garon@UNKNWON
Charles Moumouni@UNKNWON
Jean Debonville@UNKNWON
June Marchand@UNKNWON
Ulric Deschenes@UNKNWON
Jacques Rivet@UNKNWON
Réal D'Amours@UNKNWON
Guislaine Rhéault@UNKNWON
Manon Niquette@UNKNWON
Jean Charron@UNKNWON
Florence Piron@UNKNWON
Penelope Daignault@UNKNWON
William Blais@UNKNWON
Guylaine Martel@UNKNWON
