Teresa Heguera@hunter college
Justin Akers@university of massachusetts
M Arguello@UNKNWON
Maria Lopez@UNKNWON
Michelle Gutierrez@wake
Abel Macias@UNKNWON
Ernesto Davalos@UNKNWON
Alicia Lopez@UNKNWON
Jade Sotomayor@UNKNWON
Monica Hernandez@san diego state university
Cruz Rangel@UNKNWON
Ternot MacRenato@UNKNWON
