Denise English@rensselaer polytechnic institute
Dave Koeppen@boise state university
James Cruz@boise state university
Fred Christensen@boise state university
Dave Grabarcyzk@boise state university
Susan Shannon@university of michigan
Shawn Novak@thunderbird school of global management
Celia Renner@boise state university
Dan Fox@boise state university
Troy Hyatt@university of arizona
Kathy Hurley@claremont mckenna college
Tom English@university of arizona
Michael Lee@boise state university
Michael Aiello@boise state university
Ryan Baxter@boise state university
Michelle  Watts@boise state university
