Margaret Dada
Peggy Birney
Kathleen Brewer-Smyth
Pamela Butler
Bethany Hall-Long
Erlinda Wheeler
Marlene Adams
Linda Gotfreddson
Kathleen Riley-Lawless
Janet Selway
Paula Klemm
Toran MacLeod
Sandy Elliott
Lisa McBeth-Snyder
Karen Avino
Tep Kang
Amy Cowperthwait
Wayne Voelmeck
Janice Selekman
Karma Pace
Gail Wade
Cathy Welde
Julie Waterhouse
Linda Bucher
Deborah Wilson
Cynthia Diefenbeck
Amy Johnson
