Fr. Sean Harty
Tom Trapp
Bob Rossow
Matthew Anderson
Paul Allen
Lorenzo DiTommaso
Thomas Dowd
Brian McDonough
Francis Coyle
Lucian Turcescu
Sara Terreault
Christine Ross
Andre Gagne
Raymond Lafontaine
Scott Ashmon
Pastor Shaltanis
Scott Ashman
Joel Shaltanis
Greg Seltz
Suzanne Amro
Jon Waind
Scott Keith
Sharon Austin
Joel Oesch
Jeffery Mallinson
Scott Yakimow
Steven Scott
Chad Lakies
Ted Englebrecht
Michael  Eschelbach
Adriana  Bara
Joseph Vietri
Jean-Michel  Roessli
Alfonso Espinosa
Joseph Vieri
Marie-France Dion
Mark Meehl
Howard Joseph
Richard Carter
Carl Trovall
Charles Schulz
Christine Jamieson
