Alexander Nehamas
Tom Kelly
Gilbert Harman
Hendrik Lorenz
Steven Weinstein
Sarah-Jane Leslie
Kristin Primus
Ben Morison
Mark Johnston
Adam Elga
Elizabeth Harman
Brennan McDavid
Simon Cullen
Shamik Dasgupta
John Burgess
Gideon Rosen
Peter Singer
Paul Benacerraf
Harry Frankfurt
Hans Halvorson
Bas Van Fraassen
