Klaus Sutner
David O'Hallaron
Randy Pausch
Todd Mowry
Victor Adamchik
Guy Blelloch
Hui Zhang
Bernd Bruegge
Steven Rudich
Tim Hoffman
Kevin Stolarick
Richard Pattis
Lily Hou
Jacobo Carrasquel
Jim Roberts
Bruce Maggs
Bob Kraut
Sara Kiesler
Scott Hudson
Avrim blum
Edmund M. Clarke
Carlos Guestrin
Randall Bryant
Tai-Sing Lee
Stephen Brookes
Anupam Gupta
John Lafferty
Daniel Sleator
Bill Scherlis
Scott McElfresh
Adrian Perrig
Luis Von Ahn
Eric Keylor
Mark Stehlik
David Touretzky
Ryan O'Donnell
Thomas Keating
Dave Eckhardt
David Kosbie
Ananda Gunawardena
Dave Feinberg
Margaret Reid-Miller
Adrien Treuille
Chris Harrison
Kathleen Carley
Daniel Licata
Andre Platzer
Adam Blank
Diana Marculescu
Bhiksha Raj
Seyoung Kim
Poczos Barnabas
Aarti Singh
Penny Anderson
Dilsun  Kaynar
Anil Ada
Rob Simmons
Kayvon Fathalian
Karen Berntsen
Jason Hong
Charlie Garrod
Chris Atkeson
John Zimmerman
Giancarlo Dozzi
Greg Kesden
Frank Pfenning
Robert Harper
Roger Dannenberg
Jeffrey Carroll
Tom Cortina
