Marvin Eckroth
Walter Kreyzig
Glen Gillis
Don Schmidt
Dean McNeill
Neil Currie
Gyula Csapo
Phillip Kashap
Mark De Jong
Gerald Langner
John Neelin
Kathy Gable
Arlene Shiplett
Brian Unverricht
Jennifer McAllister
Gregory Marion
Darrin Oehlerking
Anna Boyden
Walter Kreyszig
Audrey Faulk-Janzen
Steven Cannon
Naida Archer
Kathleen Solose
Joan Halmo
