Davianna McGregor
Miriam Sharma
Jon Okamura
Haunani-Kay Trask
Dean Alegado
Kuuipo Cummings
Monisha Dasgupta
Malia Kaaihue
Jayson Chun
Kathryn Takara
Noel Kent
Anthony Castanha
Ulla Hasager
Roderick Labrador
Ibrahim Aoude
Elisa White
Anthony Chang
TY Tengan
Hannah Miyamoto
Pensri Ho
Faanofo Uperesa
Masahide Kato
Patricia Masters
Ellen-Rae Cachola
Charlene Tomas
Brian Chung
Carlos Andrade
Ricardo Trimillos
