Marshall Porterfield@louisiana state university
Robert Aronstam@UNKNWON
Molly Balke@UNKNWON
Terry Wilson@UNKNWON
Paula Lutz@UNKNWON
Heather Purdue@UNKNWON
Nathan Chen@washington university in st. louis
Katie Shannon@UNKNWON
Matthew Thimgan@UNKNWON
Julie Semon@UNKNWON
Ronald Frank@UNKNWON
David Westenberg@UNKNWON
Dev Niyogi@UNKNWON
Roger Brown@UNKNWON
