Eric Bach
Remzi Arpaci-Dusseau
Deb Deppeler
Karen Miller
Scott Swanson
Parmesh Ramanathan
Charles Dyer
David Dewitt
Michael Ferris
Somesh Jha
Jeff Kinne
Charles Fischer
Dieter Van Melkebeek
Anhai Doan
Michael Swift
John Nelson
David Wood
Cristian Estan
Haryadi Gunawi
Barton Miller
Amos Ron
Paul Barford
Susan Horwitz
Michael Gleicher
Michael Coen
Vikas Singh
Gurindar Sohi
Finn Kuusisto
Colin Dewey
Karthikeyan Sankaralingam
Chris RE
Perry Kivolowitz
Ben Liblit
Daniel Szafir
Shuchi Chawla
Emily Jacobson
Gautam Prakriya
Jignesh Patel
Eftychios Sifakis
Andrew Kuemmel
Jerry Zhu
Sushmita Roy
Benjamin Snyder
Seth Pollen
Suman Banerjee
Nikolaos Pappas
Luis Rodriguez-Velazquez
Laura Legault
Jesse Holzer
Stephen Wright
Irene Rae
Hidayath Ansari
Thomas Ristenpart
Drew Davidson
Jude Shavlik
Scott Alfeld
David Page
Jeffrey Naughton
Aditya  Akella
Dongning Wang
Yusef Sohail
Arun Kumar
Paris Koutris
Andrea Arpaci-Dusseau
Gary Dahl
Okan Akalin
Jason Lowe-Power
Ambuj Shatdal
Collin Engstrom
Loris D'Antoni
Sally Peterson
Jim Skrentny
Deborah Joseph
Beck Hasti
Marvin Solomon
Mark Hill
Jin-Yi Cai
