Ivor Page
Larry King
Ravi Prakash
Galigekere Dattatreya
Edwin Sha
Hal Sudborough
Radha Krishnan
Timothy Farage
Greg Ozbirn
Kang Zhang
Haim Schweitzer
Neeraj Mittal
Cort Steinhorst
Simeon Ntafos
Baron Micheal
Laurie Thompson
Dung Huynh
Herman Harrison
Sam Karrah
Vincent Ng
Sanda Harabagiu
Latifur Khan
Gopal Gupta
David Russo
Yang Liu
Jason Jue
Anthony Sullivan
David Heroy
Ding-Zhu Du
Yuke Wang
John Cole
Eric Wong
Jaou Cangussu
Murat Kantarcioglu
Balakrishnan Prabhakaran
Ying Liu
Andras Farago
Si Zheng
Vasileios Hatzivassiloglou
Jorge Cobb
Michael Christiansen
Ramaswamy Chandrasekaran
Yen I-Ling
Kevin Hamlen
Ekpe Okorafor
George Jackson
Pankaj Choudhary
Xiaohu Guo
Rekha Bhowmik
Bhanu Kapoor
Kamil Sarac
Subbarayan Venkatesan
Jeyakesavan Veerasamy
Feliks Kluzniak
Linda Morales
Weili WU
Shyam Karrah
Janell Straach
Travis Steel
Young Ryu
Miguel Razo
Bhavani Thuraisingham
Karman Khan
Ziaullah Khan
Charles Shields
Zhiqiang Lin
Mark Gable
Dan Moldovan
Pushpa Kumar
Ebru Cankaya
Balaji Raghavachari
Steven Seida
Ryan McMahan
Timothy Culver
John Kirtzic
Brian Devries
Nhut Nguyen
Yvo Desmedt
Alvaro Cardenas
Neda Saeedloei
Jason Smith
Vibhav Gogate
Mohamed Belkoura
Don Vogel
Cong Liu
Richard Min
Stephen Perkins
Mark Paulk
Ebenezer Oladimeji
Neeraj Gupta
Nurcan Yuruk
Khiem LE
Mehra Borazjany
Weichen Wong
Lingming Zhang
Chris Davis
Mithun Balakrishnan
Mathukumalli Vidyasagar
Ishtiaque  Hussain
Gordon Arnold
Eric Moden
James Wilson
Maribeth Schlobohm
Cuneyd Kaya
Yaser  Ibrahim
William Semper
Adrian Soncodi
Anurag Nagar
Anjum Chida
Rym Wenkstern
Ranran Feng
Nicholas Ruozzi
Manmohan Aseri
Richard Goodrum
Alexander Cornelius
Karen Doore
Keven Ates
Gurvinder Ahluwalia
Jonathan Brandenburg
Rym Mili
M Sanchez
Ovidiu Daescu
Rafael Lacambra
Mehrdad Nourani
Lawrence Chung
Sergey Bereg
