Renee Gleitz
Sandra Eggenberger
Linda Wenkel
Krista Fling
Marliyn Swan
Norma Krumwiede
Carol Hargate
Nancy McCloone
Diane Witt
Annette Benson
Sandie Schuette
Laura Senn
Heidi Riehl
Doris Hill
Mary Bliesmer
Laurie Kunerth
Suzan Sherman
Patricia Young
Kathleen Keogh
Colleen Clark
Linda Rossow
Tai Gilbert
Debra Topham
Hans-Peter DeRuiter
Rhonda Cornell
Nancy Mcloone
Sandra Crofton
Kristen  Anderson
Julie Frederick
Regina Smith
