Philip Zimbardo
Jeffrey Wine
Herb Clark
Benoit Monin
Laura Carstensen
Doug Daher
Gordon Bower
John Gabrieli
Ellen Markman
Barbara Tversky
Michael Ramscar
Joseph Brown
Evan Morrison
Scott Hall
Susan Johnson
Natasha Kirkham
Anthony Wagner
Leonard Horowitz
Catherine Heaney
Greg Walton
Lera Boroditsky
Taylor Holubar
James McClelland
Irvin Yalom
James Gross
Ewart Thomas
