Cynthia Hornberger
Sue Unruh
Kathy Brunin
Jane Carpenter
Ellen Carson
Nora Clark
Annie Collins
Joan Denny
Caren Dick
Shirley Dinkel
Lori Edwards
Michelle Epperson
Debra Isaacson
Patricia Joyce
Marilyn Masterson
Maryellen McBride
Brenda Patzel
Anne Pingenot
Barbara Stevenson
Sue Washburn
Cheryl Johnson
Andrea Andrews
Elizabeth Campbell
Lara Price
Jeanne Catanzaro
Diane Werner
Bonnie Peterson
Laura Sidlinger
William Mach
Susan Maendele
Lara Rivera
