Doug McAdam
Simon Jackman
John Ferejohn
Jim Fearon
Mike Tomz
Terry Karl
Luis Fraga
Rob Reich
Eve D'Onofrio
H. Lyman Miller
Abbas Milani
Andy Rutten
Larry Diamond
Condoleeza Rice
Kelly Greenhill
Mary Sprague
Jeremy Weinstein
Roberto D'Alimento
Kenneth Schultz
Dinesh D'Souza
Paul Florina
Gerald Dorfman
Michael McFaul
Scott Sagan
David Brady
Morris Fiorina
