Victor Lima
Allen Sanderson
Mark Duggan
David Galenson
Jim Leitzel
Gary Becker
Derek Neal
Tomas Philipson
Sam Peltzman
Chad Syverson
Matthew Gentzkow
Sabina Shaikh
Mike Gibbs
Silda Nikaj
Grace Tsiang
Karna Basu
Peter Bondarenko
James Heckman
James Sallee
David Coble
Casey Mulligan
Balasz Szentes
Levitt
Joel Stern
Wilson
