Charles Moskos
Gueorgui Derluguian
Lewis Gebhardt
John Hagan
Bernard Beck
Nicola Beisel
Bruce Carruthers
Carolyn Chen
Thomas Cook
Wendy Espeland
Gary Alan Fine
Wendy Griswold
Carol Heimer
Albert Hunter
Joanne Labonte
Bobai Li
Aldon Morris
Robert Nelson
Ann Shola Orloff
Mary Pattillo
Monica Prasad
Sandoval Onesimo
Allan Schnaiberg
Arthur Stinchcombe
Susan Thistle
Celeste Watkins
Vilna Bashi
Marika Lindholm
