Nitin Nohria
Lee Fleming
Lynda Applegate
James Austin
Joseph Badaracco
Diana Barrett
Christopher Bartlett
Joseph Bower
Michael Chu
David Garvin
Allen Grossman
Regina Herzlinger
Rosabeth Kanter
F. Warren McFarlan
D. Quinn Mills
Lynn Paine
Ezequiel Reficco
Michael Roberto
Ratna Sarkar
Jane Wei-Skillern
Michael Porter
Edward Mazze
