Vicki Green
Nancy Evans
John Mitchell
Robert Whiteley
Raya Fransila
Philip Balcaen
Blane Despres
Veronica Gaylie
Ron Goddard
Wendy Klassen
Sharon McCoubrey
Karen Ragoonaden
Carol Scarff
Greg Wetterstrand
Rebecca Frechette
Colleen Lindsay
Peter Arthur
Sabre Cherkowski
Maxine Baptiste
Stephen Berg
Scott Douglas
John Binfet
