James Cutting
Tim Devoogd
Christine Schelhas-Miller
Tom Gilovich
Harry Segal
Barbara Strupp
David Dunning
Elise Temple
Cindy Hazan
Marianella Casasola
David Field
Shimon Edelman
Barbara Lust
Dennis Regan
Morten Christiansen
Michael Goldstein
Rick Dale
Breton Bienvenue
Jennifer Schwade
Katrina Greene
Pat Barclay
Jack Goncalo
Charles Brainerd
Elizabeth Adkins-Regan
Richard Depue
Mary Campa
Joseph Mikels
David Pizarro
Christopher Braley
Thomas Gilovich
Vivian Zayas
Robert Johnston
Matthew Wallaert
Carol Krumhansl
Anthony Ong
David Smith
Andrew Reed
Reza Shahbazi
Khena Swallow
Ramon Velazquez
Catalina Iricinschi
Katherine Kinzler
Sandra Bem
Daryl Bem
Michael Owren
Michael Spivey
Ron Hoy
Jeffrey Haugaard
Barbara Koslowski
Melissa Ferguson
