Doug Dyreng
Gary Chidester
Elaine Compton
Beth Hewes
Kristi Stevens
Greg Dart
Malynda Bjerregaard
Elaine Tcompton (p) Compton (p)
Lucinda Averett
Rick Wheeler
James Thelin
Clifford Birrell
Sandy Cox
George Compton
David Dickinson
Ivo Peterson
John Van Orman
Carl Cox
Sandra Cox
Brach Schluter
Chase Mitchell
