Wesley Mackey
Robert Levinson
Ethan Miller
Patrick Tantalo
Paulo Franca
Brian Hanks
Tracy Larrabee
J.C. Gomez
Wang-Chiew Tan
Neoklis Polyzotis
Manfred Warmuth
Delbert Bailey
James Davis
Scott Brandt
Josh Stuart
David Helmbold
Jerry Talton
Linda Werner
Tim Frobshier
Noah Wardrip-Fruin
Dimitris Achlioptas
Michael Mateas
Arnav Jhala
Marilyn Walker
Mike Treanor
Ira Pohl
Christopher Yonge
Jagadeesh Vasudevamurthy
Balder Ten Cate
Reid Swanson
David Wessman
Nathan Whitehead
Bineet Sharma
Theresa Migler-Vondollen
Lise Getoor
Emily Lovell
Richard Jullig
Seshadhri Comandur
Maxwell Dunne
Phokion Kolaitis
S V N Vishwanathan
Suzanne Da Camara
Sheldon Finkelstein
Guy Cox
Cyrus Bazeghi
Hai Tao
Joel Ferguson
Jim Whitehead
Charles McDowell
Darrell Long
Gerald Moulds
Gabriel Elkaim
Slim Ouni
Luca De Alfaro
David Haussler
Andrea Di Blas
Martin Abadi
Suresh Lodha
Alan Vangelder
Roberto Manduchi
Cormac Flanagan
Carol Mullane
Brad Smith
Allen Van Gelder
Alex Pang
