Wolfie Ketterle
Walter Lewin
Peter Fisher
Eric Hudson
Gordon Freeman
Robert Jaffe
Barton Zwiebach
Wit Buzca
Bruno Coppi
Max Tegmark
Deepto Chakrabarty
Min Chen
Isaac Chuang
Enectali Feliciano
Bernd Surrow
Paul Schechter
Xiao-Gang Wen
Hong Liu
Alan Guth
Alan Adams
Vladan Vuletic
David Kaiser
Elizabeth Wood
Martin Zwierlein
Jolyon Bloomfield
Yen-Jie Lee
Mehran Kardar
Jesse  Thaler
Gordan Freeman
Lisa Randall
Tom Greytak
Stanley Kowalski
Bolek Wyslouch
Saul Rapaport
John Belcher
Peter Dourmashkin
Scott Hughes
