Hadi Moradi
Claire Bono
Michael Crowley
Massoud Ghyam
Leonard Adleman
Bapa Rao
Parag Havaldar
Ulrich Neumann
Barry Boehm
David Wilczynski
Sven Koenig
Dongho Kim
Saty Raghavachary
David Kempe
Milind Tambe
Maja Mataric
Jim Alstad
Bill Cheng
Steve Jacobs
Ramesh Govindan
Alexandre Francois
Marco Papa
Alexander Egyed
Ram Nevatia
Leana Golubchik
Mary Hall
Clifford Neuman
Ellis Horowitz
Nenad Medvidovic
Shahriar Shamsian
Scott Easley
Marcel Valcarce
Stefan Schaal
Aristides Requicha
Fei Sha
Brent Nash
Priya Vashishta
Sanjay Madhav
Tom Sloper
Gaurav Sukhatme
Gerard Medioni
Aaron Cote
Michael Arbib
Sofus MacSkassy
Chi SO
Sheila Tejada
Paul Rosenbloom
Jernej Barbic
Michael Shindler
Michael Sheehan
Supannika Koolmanojwong
William Halfond
Krishnamurthy Narayanaswamy
Kenji Sagae
Phillip Foster
Jeffrey Miller
David Pritchard
Farnoush Banaei-Kashani
Laurent Itti
Ankush Prasad
George Edwards
William Swartout
Bill Swartout
Paulina Grey
Joshua Glazer
Wyatt Lloyd
Jelena Mirkovic
Chris  Mattmann
Young  Cho
Nathan Greenfield
Alefiya Hussain
Ning Wang
Nina Wang
Sanjay Purushotham
Shaddin Dughmi
Ming-Deh Huang
Clifford Newman
Winsor Brown
Jose Macias
Shahram Ghandeharizadeh
Dennis McLeod
