James Pincock
Phil Pacey
Bill Pohajdak
Tara Wright
Jean Burnell
Andrew Stadnyk
Norm Schepp
David Byers
Mark Stradiotto
Andrew Rutenberg
Gerhard Stroink
Amares Chatt
Lorne Verabioff
Marcos Zentilli
Barry Ruddick
Cindy Staicer
Dave Scott
Martin Willison
Peter Reynolds
Raymond Cote
Patrice Cote
Pierre Cote
Stuart Carson
Robert Nalepa
Peter Wallace
