Wakae Kambara
Kimiaki Yamaguchi
Hiromi Urayama
Yasuhiro Omoto
Noriko Komatsu
Yoko Hasegawa
Yasuko Konno Baker
RY Beville
Miwako Tomizuka
Seiko Kosaka
John Wallace
Yoko Uda
Maki Takata
Masako Murakami
Yumi Konishi
Kayoko Imagawa
Mari Ota
Noriko Knickerbocker
Chika Shibahara
Kazumi Yahata
Susan Matisoff
