Trentacoste
Jerome Rose
Vera Bergelson
Gary Francione
Alan Hyde
Amy Soled
Carlos Gonzalez
Vikrant Advani
Diana Sclar
Roger Clark
Allan Stein
Steven Friedell
Ellen Goodman
Kimberly Ferzan
Ruth Anne Robbins
Adrienne Lockie
James Bergin
Jie Xu
Charles Soos
Maisha Aziz
Karimu Hill-Harvey
Amy Anderson
Cymie Payne
Jeremy Hirsh
Joyce  Howell
Barbara  Lee
Bert Levine
Jose Gonzalez-Perez
Judy Russell
