Rick Ord
Gary Gillespie
Susan Marx
Yannis Papakonstantinou
Paul Kube
Charles Elkan
Joseph Pasquale
William Griswold
Chung-Kuan Cheng
Russell Impagliazzo
Georges Merx
Dean Tullsen
Joseph Goguen
Ramamohan Paturi
Ronald Graham
Bellare Mihir
Neil Rhodes
Beth Simon
Ranjit Jhala
Pramod Argade
Thomas Powell
Scott Baden
Alon Orlitsky
Michael Taylor
Shane Weebe
Sorin Lerner
Alin Deutsch
Lawrence Cayton
Andre Burgos
Andrew Kahng
Alex McClure
Claire Monteleoni
Dana Dalstrom
Tajana Rosing
Cynthia Lee
Keith Marzullo
Ingolf Kreuger
Ingolf Krueger
Pierre Huguet
Donald Demuth
Scott Wallihan
W. Duane Wesley
Lawrence Saul
David Kriegman
Yuanyuan Zhou
Steve Swanson
Martin Dicknog
Raymond Mitchell
Yoav Freund
Henrik Wann Jensen
Godfrey Duke
Vineet Bafna
Hovav Shacham
Choon Kim
Jacob Whitehill
Christine Alvarado
Alexander Tsiatas
Ganz Chockalingam
Ilkay Altintas
Philip Papadopoulos
Garo Bournoutian
Ana Cristin Murillo Arnal
Scott Klemmer
Sourav Chakraborty
Shachar Lovett
Massimiliano Menarini
Peter Klemperer
Diba Mirza
Ali  Arsanjani
Daniel Kane
Adam Jundt
Leo  Porter
Janine Tiefenbruck
Shonle Macneil
Alexander Kulikov
Yingjun Cao
Ragesh Jaiswal
Nuno Bandeira
Julian  McAuley
Marina Langlois
Greg Kesden
Shengqi Yang
Miles Jones
Geoff Voelker
Ralph Hayward
Ray Mitchell
Rajesh Gupta
Savitch
Stefan Savage
Walter Burkhard
Gill Williamson
Sara More
Bill Howden
Alexander Vardy
Pavel Pevzner
Daniele Micciancio
Victor Vianu
Alex Orailogou
Sanjoy Dasgupta
T.C. Hu
Carl Gibson
