Nathan Rosenberg
Garrett Logan
Gavin Wright
Michael Boskin
Amar Nair
Steven Tadelis
Ran Abramizky
Derek Stimel
Peter Hammond
John Pencavel
Peter Hansen
Robert Leeson
Derek Gurney
Kathryn Shaw
Ryan Lampe
Thomas MaCurdy
Luke Stein
Manuel Amador
Doru Cojoc
Alvin Roth
Klaus Desmet
Cristian Santesteban
John Taylor
Gabriel Carroll
Marcelo Clerici-Arias
Mark Tendall
David Johnson
Aprajit Mahajan
Pete Klenow
Liran Einav
Tim Bresnahan
Michele Tertilt
