Sjoerd Roorda
Pierre Bergeron
Robert Lamontagne
Pierre Bastien
Claude Carignan
Nicole Saint-Louis
Francois Wesemael
Claude Leroy
Keou Rodrigue
Thomas Fleish
Guido Berlin
Richard MacKenzie
Guillaume Gélinas
Rodrigue Kéou
Lanoir Maaloul
Luc Vinet
Pierre Levif
Patrick Dufour
Gilles Fontaine
Alain Vincent
Louis-André Hamel
