Rick Demaris
David Weber
Carolyn Leeb
Nelly van Doorn-Harder
Greg Jones
James Moore
Gilbert Meilaender
Steve Driver
Mark Bartusch
Thelma Megill-Cobbler
Lisa Driver
Jeffrey Shirkey
Matthew Becker
George Heider
Elizabeth Hopps-Peters
Fred Niedner
Christoffer Grundmann
Franklin Harkins
Mary Streufert
George Pati
Walter Wangerin
Paul Harder
Ian Clausen
Melanie  Trexler
Melanie Howard
