Dana Hysock@UNKNWON
Lori Smith@midwestern state university
Rebecca Nees@UNKNWON
Deborah Garrett@UNKNWON
Kathleen Grant@UNKNWON
Tom Stevens@UNKNWON
Don Jenrette@UNKNWON
Victoria Hornick@UNKNWON
Nancy Farage@UNKNWON
Michael Gibbons@UNKNWON
Ebonie McCollum@UNKNWON
Frieda Fowler@UNKNWON
Emmie Jackson@UNKNWON
Julia Lucas@UNKNWON
Wyndell Simmons@UNKNWON
James Floyd@UNKNWON
