George Furnas
Daniel Atkins
Victor Rosenberg
Jeffrey MacKie-Mason
Gary Olson
Joseph Hardin
Yan Chen
Rahul Sami
Mick McQuaid
Martha Pollack
Karen Markey
Soo Rieh
Charles Severance
Cory Knobel
Ixchel Faniel
Katherine Lawrence
Eytan Adar
Lada Adamic
Clifford Lampe
Lionel Robert
Finn Brunton
Mark Newman
Yuhang Wang
Lija Hogan
Lauren Hildesheim
Dharma Akmon
Tanya Rosenblat
Erin Krupka
John King
Nancy Benovich-Gilby
Qiaozhu Mei
Daniel Romero
Markus Mobius
Michael Hess
Paul Resnick
Maurita Holland
Judy Olson
Joan Durrance
David Wallace
Michael Cohen
Marshall Van Alstyne
Paul Edwards
Sandra Bartlett
