Alan Smith
Brian Barsky
Doug Tygar
Kurt Meinz
Dan Garcia
Brian Harvey
Stuart Russell
Michael Jordan
Satish Rao
James O'Brien
John Canny
Nate Titterton
Jamie Rector
Christos Papadimitriou
Jitendra Malik
Daniel Klein
John Wawrzynek
Umesh V. Vazirani
Randy Katz
Bill Paxson
Vern Paxson
Alistair Sinclair
Greg Gibeling
John Kubiatowicz
David Culler
Koushik Sen
Dawn Song
David Wagner
Joesph Hellerstein
M Xu
Courtney Wang
John DeNero
George Necula
Kurt Keutzer
Sanjit Seshia
Sharad Vikram
Amir Kamil
Tal Lavian
Ion Stoica
Armando Fox
Trevor Darrell
Krste Asanovic
Eric Paulos
Pieter Abbeel
Dylan Feldman
Sagar Karandikar
Jonathan Bachrach
Josh Hug
Valkyrie Savage
Jean Walrand
Jean Walrund
Ren Ng
Paul Hilfinger
Dave Patterson
Jonathan Shewchuk
Kathy Yelick
Mike Clancy
Richard Fateman
David Schultz
