Lorna Butler
Lucille Wittstock
Marlene Mercer
Heather Helpard
Lisa Goldberg
Gail Tomblin-Murphy
Cynthia Barkhouse-Mackeen
Erna Snelgrove-Clarke
Shelley Cobbett
Andrea Chircop
Ellen Duinker
Diana Ikki
Jean Hughes
Ingrid Waldron
Holly Richardson
Spring Farrell
Brenda Sabo
Jean  MacDonald
Maureen White
Marsha Campbell-Yeo
Betty MacIsaac
Catherine Sheffer
Frances Gregor
Colleen Kiberd
